article_id,title,text,summary,url,source_name,published_at,fetched_at,source_dataset,label,label_id
daca536d883bf7bbdd4c848411fda516,"Amid Ukraine’s daring assaults, Russia scales back Victory Day celebrations - Al Jazeera","Amid Ukraine’s daring assaults, Russia scales back Victory Day celebrations - Al Jazeera. An important date in the Russian calendar, May 9 will be a slimmed-down affair with less military showcasing.. May 9 is a venerated date on the Russian calendar. The anniversary of the Soviet Unions victory over Nazi Germany in World War II is usually commemorated with a grand military parade outside the Krem… [+8417 chars]","An important date in the Russian calendar, May 9 will be a slimmed-down affair with less military showcasing.",https://www.aljazeera.com/news/2026/5/8/amid-ukraines-daring-assaults-russia-scales-back-victory-day-celebrations,Al Jazeera English,2026-05-09T14:08:36Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
0621df3874d05d5de7dc2eb5928aa867,What to know about British elections that hammered Starmer’s Labour Party - AP News,"What to know about British elections that hammered Starmer’s Labour Party - AP News. British Prime Minister Keir Starmer is pledging to revive his struggling government amid calls to resign after disastrous local elections for his Labour Party. Labour lost more than 1,000 council seats in England and was ousted from power in Wales after 27 ye…. LONDON (AP) British Prime Minister Keir Starmer pledged to revive his struggling government but faced growing calls to resign after a disastrous set of local and regional elections for his Labour Par… [+6199 chars]","British Prime Minister Keir Starmer is pledging to revive his struggling government amid calls to resign after disastrous local elections for his Labour Party. Labour lost more than 1,000 council seats in England and was ousted from power in Wales after 27 ye…",https://apnews.com/article/uk-elections-starmer-labour-what-to-know-eb11ff39b1b74bbaf9f4ef6abfd60f64,Associated Press,2026-05-09T13:20:00Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
553ed9fc1af76d534af8cdf639247008,NBA Mock Draft 2026: Last Look Before the Lottery - heavy.com,"NBA Mock Draft 2026: Last Look Before the Lottery - heavy.com. The 2026 NBA mock draft will undergo a shake-up with the draft lottery on Sunday, a consequential drawing for many teams.. The NBA lottery will be held on Sunday, and that will, of course, completely shake up the 2026 NBA mock draft here. Two teams–the Pacers and Clippers–will be watching especially closely, but if recen… [+14470 chars]","The 2026 NBA mock draft will undergo a shake-up with the draft lottery on Sunday, a consequential drawing for many teams.",https://heavy.com/sports/nba/golden-state-warriors/nba-mock-draft-2026-last-look-before-the-lottery/,Heavy.com,2026-05-09T13:00:09Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
e1e3d9c05ac827eba93e7e521707b437,"The Iran war will change global energy markets in these important ways, oil executives say - CNBC","The Iran war will change global energy markets in these important ways, oil executives say - CNBC. Iran's blockade of the Strait of Hormuz has resulted in the loss of nearly a billion barrels of oil with the shortage growing worse every day.. The world's energy system will change in big ways as a result of the Iran war, the CEOs of key oil and gas companies told investors on their earnings calls over the past two weeks.
Iran's blockade o… [+2715 chars]",Iran's blockade of the Strait of Hormuz has resulted in the loss of nearly a billion barrels of oil with the shortage growing worse every day.,https://www.cnbc.com/2026/05/09/iran-war-oil-gas-energy-security.html,CNBC,2026-05-09T12:43:00Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
53c210e4bff751176f5c69f9570d857d,Live Updates: U.S. fires on 2 Iran-flagged tankers as U.S. awaits response on peace deal - CBS News,"Live Updates: U.S. fires on 2 Iran-flagged tankers as U.S. awaits response on peace deal - CBS News. The U.S. military says its forces fired on two Iran-flagged oil tankers to stop them from docking at an Iranian port in violation of the U.S. blockade in the area.. The U.S. Treasury Department on Friday announced a new round of sanctions against 10 individuals and companies it accused of helping enable Iran's drone and ballistic missile programs.
The sanctions… [+1590 chars]",The U.S. military says its forces fired on two Iran-flagged oil tankers to stop them from docking at an Iranian port in violation of the U.S. blockade in the area.,https://www.cbsnews.com/live-updates/iran-war-trump-us-attacks-qeshm-island-ceasefire/,CBS News,2026-05-09T12:29:00Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
134d492ee397bbe880c4bc8479882af8,Why one of the nation's largest auto lenders isn't worried about high vehicle prices or 'forever loans' - CNBC,"Why one of the nation's largest auto lenders isn't worried about high vehicle prices or 'forever loans' - CNBC. While median car payments have jumped from $390 to $525 since 2019, data provided by Capital One suggests stability in vehicle cost compared to income.. The head of one of the nation's largest auto finance lenders isn't overly concerned about rising consumer automotive debt and inflated used car prices leading to longer loans on vehicle purchases.
H… [+4203 chars]","While median car payments have jumped from $390 to $525 since 2019, data provided by Capital One suggests stability in vehicle cost compared to income.",https://www.cnbc.com/2026/05/09/capital-one-auto-forever-loans-used-cars.html,CNBC,2026-05-09T12:00:01Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
d75855d55ceb66328745449e0c124e04,Meet the B-Team: The Cabinet deputies who may find themselves in the spotlight - Politico,"Meet the B-Team: The Cabinet deputies who may find themselves in the spotlight - Politico. Kate MacGregor? Nicholas Kent? Keith Sonderling? The little-known faces who run day-to-day agency operations.. Its time for President Donald Trumps B-Team the agency understudies who may step into leadership voids to have a moment.
The string of departures from the Cabinet over the past two months is bringin… [+15054 chars]",Kate MacGregor? Nicholas Kent? Keith Sonderling? The little-known faces who run day-to-day agency operations.,https://www.politico.com/news/2026/05/09/trump-cabinet-resignations-deputies-00904863,Politico,2026-05-09T11:00:00Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
817eee438742643d3141c679b6639e03,"With GOP wins on election maps, Democrats have a steeper climb to victory - The Washington Post","With GOP wins on election maps, Democrats have a steeper climb to victory - The Washington Post. Republicans are eight seats closer to keeping control of the House, making Democrats’ climb toward reclaiming power in November more difficult.. Republicans are eight seats closer to keeping control of the House since President Donald Trump pushed state lawmakers to redraw congressional maps, steepening the Democrats climb toward reclaiming a… [+36 chars]","Republicans are eight seats closer to keeping control of the House, making Democrats’ climb toward reclaiming power in November more difficult.",https://www.washingtonpost.com/politics/2026/05/09/trump-redistrict-democrats-midterms-courts/,The Washington Post,2026-05-09T10:32:14Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
224ca2530093404503f2116ca59ffc6a,"Southern Republicans redistrict after Supreme Court rules, Dems lose big in Virginia - NPR","Southern Republicans redistrict after Supreme Court rules, Dems lose big in Virginia - NPR. The Supreme Court weakened minority voting rights and prompted Republicans in four states to move to redistrict as part of Trump's push. A court nullified Democratic redistricting in Virginia.. Democrats suffered a major setback and Republicans continued to reshape voting maps their way in a frantic week of developments prompted by court rulings.
The Supreme Court of Virginia Friday nullif… [+3408 chars]",The Supreme Court weakened minority voting rights and prompted Republicans in four states to move to redistrict as part of Trump's push. A court nullified Democratic redistricting in Virginia.,https://www.npr.org/2026/05/09/nx-s1-5812908/trump-midterms-redistricting-election,NPR,2026-05-09T10:00:00Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
734e8b0e245c80b50a6ebaf4539ae119,Ryan Cohen tells us why he's serious about buying eBay — and what he thinks about his viral CNBC interview - Business Insider,"Ryan Cohen tells us why he's serious about buying eBay — and what he thinks about his viral CNBC interview - Business Insider. ""I did not want to be the CEO of GameStop,"" GameStop CEO Ryan Cohen told Business Insider on Friday. ""I want to be the CEO of eBay."". Ryan Cohen says he never wanted to be CEO of GameStop.
Instead, he says he dreams of helming eBay and thinks he has a real shot at achieving that goal, despite critics' claims that the e-commerce gi… [+4584 chars]","""I did not want to be the CEO of GameStop,"" GameStop CEO Ryan Cohen told Business Insider on Friday. ""I want to be the CEO of eBay.""",https://www.businessinsider.com/gamestop-ryan-cohen-explains-why-hes-serious-about-ebay-2026-5,Business Insider,2026-05-09T09:58:00Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
b2ffb8bbff8560f6438747ac4300c518,‘Super Revolutionaries’: The radical Iranian hardliners bent on sabotaging a deal with the US - CNN,"‘Super Revolutionaries’: The radical Iranian hardliners bent on sabotaging a deal with the US - CNN. As negotiations between the United States and Iran enter a critical stage, a small but influential hardline faction has intensified efforts to sabotage a potential deal with Washington, fueling President Donald Trump’s claims of divisions within the Islamic R…. As negotiations between the United States and Iran enter a critical stage, a small but influential hardline faction has intensified efforts to sabotage a potential deal with Washington, fuelling Pres… [+8212 chars]","As negotiations between the United States and Iran enter a critical stage, a small but influential hardline faction has intensified efforts to sabotage a potential deal with Washington, fueling President Donald Trump’s claims of divisions within the Islamic R…",https://www.cnn.com/2026/05/09/middleeast/iran-conflict-politics-hardline-intl,CNN,2026-05-09T09:02:39Z,2026-05-10T14:56:32.219870+00:00,newsapi,,
